DBT,,4-MeDBT,2-MeDBT,3-MeDBT,,1-MeDBT,4-EthDBT,4.6-DiMeDBT,2-EthDBT,2.4-DiMeDBT,2.6-DiMeDBT,,3.6-DiMeDBT,3-EthDBT,,2.7+3.7+2.8-DiMeDBT,1.8+1.4+1.6-DiMeDBT,3.4-DiMeDBT,1.7-DiMeDBT,1.3-DiMeDBT,2.3-DiMeDBT,1.2-DiMeDBT,,,4-PropDBT,EthMeDBT,,"2,4,6-TriMeDBT","2,4,7+2,4,8-TriMeDBT","1,4,6-TriMeDBT","3,4,6-TriMeDBT","1,3,7+3,4,7-TriMeDBT",,
DBenzoThio,,4MDBenzoThio,2MDBenzoThio,3MDBenzoThio,,1MDBenzoThio,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBT,,4MDBT,2MDBT,3MDBT,2+3-MDBT,1MDBT,4EDBT,"4,6DMDBT",,"2,4DMDBT",,"2E+2,6DMDBT","3,6DMDBT",,1-EDBT,"2,7+2,8+3,7DMDBT","1,4+1,6+1,8DMDBT",,,"1,3DMDBT",,,"3,4DMDBT","1,7DMDBT",4PropDBT,E_MDBT,,"2,4,6TMDBT","2,4,7+2,4,8TMDBT","1,4,6TMDBT","3,4,6TMDBT","1,3,7+3,4,7TMDBT",,
DBT,,4 MDBT,2 MDBT,3 MDBT,(2+3)-MDBT,1 MDBT,4 EDBT,4.6 DMDBT,2.4 DMDBT,2E+2.6 DMDBT,3.6 DMDBT,2.7 + 2.8 + 3.7 DMDBT,1.4+1.6+1.8 DMDBT,1.3 DMDBT,3.4 DMDBT,1.7 DMDBT,,,,,,,,,4 Prop DBT,E-M-DBT,,2.4.6 TMDBT,2.4.7+2.4.8 TMDBT,1.4.6 TMDBT,3.4.6 TM DBT,1.3.7 + 3.4.7 TMDBT,,
Dibenzothiophen,Methyldibenzothiophen,4-Methyldibenzothiophen,2-Methyldibenzothiophen,3-Methyldibenzothiophen,,1-Methyldibenzothiophen,4-Ethyldibenzothiophen,"4,6-Dimethyldibenzothiophen","2,4-Dimethyldibenzothiophen","2-Ethyl+2,6-Dimethyldibenzothiophen","3,6-Dimethyldibenzothiophen","2,7+2,8+3,7-Dimethyldibenzothiophen","1,4+1,6+1,8-Dimethyldibenzothiophen","1,3-Dimethyldibenzothiophen","3,4-Dimethyldibenzothiophen","1,7-Dimethyldibenzothiophen",,,,,,,,,,,Trimethyldibenzothiophen,A,B,C,D,E,F,G
Dibenzothiophen,,4-methydibenzothiophen,2-methydibenzothiophen,3-methydibenzothiophen,,1-methydibenzothiophen,4-ethydibenzothiophen,"4,6-dimethydibenzothiophene","2,4-dimethydibenzothiophene","2-ethyl+2,6-dimethydibenzothiophene","3,6-dimethydibenzothiophene","2,7+2,8+3,7-dimethydibenzothiophene","1,4+1,6+1,8-dimethydibenzothiophene","1,3-dimethydibenzothiophene","3,4-dimethydibenzothiophene","1,7-dimethydibenzothiophene",,,,,,,,,,,,trimethyldibenzothiophene,trimethyldibenzothiophene,trimethyldibenzothiophene,trimethyldibenzothiophene,trimethyldibenzothiophene,trimethyldibenzothiophene,trimethyldibenzothiophene
DBenzoThio,,4MDBenzoThio,2MDBenzoThio,3MDBenzoThio,,1MDBenzoThio,4EDBenzoThio,"4,6DMDBenzoThio","2,4DMDBenzoThio","2E+2,6DMDBenzoThio","3,6DMDBenzoThio","2,7+2,8+3,7DMDBenzoThio","1,4+1,6+1,8DMDBenzoThio","1,3DMDBenzoThio","3,4DMDBenzoThio","1,7DMDBenzoThio",,,,,,,,,,,,C3DBenzoThioA,C3DBenzoThioB,C3DBenzoThioC,C3DBenzoThioD,C3DBenzoThioE,C3DBenzoThioF,C3DBenzoThioG
